,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
79,Lompoc,75,US,03/04/2019,62,34.64,-120.46,64.0,10.29
80,Hobart,0,AU,03/04/2019,82,-42.88,147.33,66.99,6.93
81,Ahipara,0,NZ,03/04/2019,71,-35.17,173.16,79.0,1.99
82,Bathsheba,40,BB,03/04/2019,83,13.22,-59.52,77.0,21.92
83,Poronaysk,0,RU,03/04/2019,72,49.22,143.1,18.67,5.39
84,Punta Arenas,40,CL,03/04/2019,100,-53.16,-70.91,46.4,23.04
85,Jiuquan,24,CN,03/04/2019,74,39.73,98.49,9.44,2.59
86,Pangkalanbuun,76,ID,03/04/2019,98,-2.68,111.62,74.24,4.61
87,Pombas,24,BR,03/04/2019,81,-15.9,-54.74,76.76,5.73
88,Ratnagiri,48,IN,03/04/2019,100,16.98,73.3,72.67,7.85
89,Khatanga,64,RU,03/04/2019,80,71.98,102.47,3.82,10.76
90,Hay River,90,CA,03/04/2019,72,60.82,-115.79,14.0,11.41
91,Vaini,0,IN,03/04/2019,86,15.34,74.49,56.69,1.03
92,Saskylakh,44,RU,03/04/2019,27,71.97,114.09,-19.32,7.18
93,Nehe,92,CN,03/04/2019,75,48.48,124.88,27.26,16.69
94,Chuy,80,UY,03/04/2019,64,-33.69,-53.46,79.6,8.08
95,Goundam,0,ML,03/04/2019,36,16.42,-3.66,62.59,8.3
96,Mto wa Mbu,32,TZ,03/04/2019,100,-3.38,35.86,62.99,3.15
97,Kaka,0,TM,03/04/2019,94,37.35,59.62,29.38,2.71
98,Sigli,24,ID,03/04/2019,95,5.38,95.96,75.28,2.59
99,Tazovskiy,56,RU,03/04/2019,88,67.47,78.7,15.47,20.6
100,Wajir,36,KE,03/04/2019,86,1.75,40.07,73.75,3.49
101,Nuuk,75,GL,03/04/2019,67,64.17,-51.74,23.0,3.36
102,Cidreira,0,BR,03/04/2019,77,-30.17,-50.22,78.25,16.24
103,Puerto del Rosario,75,ES,03/04/2019,68,28.5,-13.86,64.4,13.87
104,Shihezi,68,CN,03/04/2019,74,44.3,86.03,16.06,1.92
